relative_position	route	source_lexicality	interpolated_error_rate
0.27272727272727276	wm	pseudo	3.8430424598546294e-05
0.2828282828282829	wm	pseudo	7.661835269070939e-05
0.29292929292929293	wm	pseudo	0.0001249278740927774
0.30303030303030304	wm	pseudo	0.00018133467014276976
0.31313131313131315	wm	pseudo	0.00024381442217870532
0.32323232323232326	wm	pseudo	0.0003103428115386029
0.33333333333333337	wm	pseudo	0.0003788955195604815
0.3434343434343435	wm	pseudo	0.0004474482275823601
0.3535353535353536	wm	pseudo	0.0005139766169422576
0.36363636363636365	wm	pseudo	0.0005764563689781927
0.37373737373737376	wm	pseudo	0.0006328631650281852
0.38383838383838387	wm	pseudo	0.000682812964429408
0.393939393939394	wm	pseudo	0.0007287903020396522
0.4040404040404041	wm	pseudo	0.000772034809456222
0.4141414141414142	wm	pseudo	0.0008137610778763062
0.42424242424242425	wm	pseudo	0.000855183698497093
0.43434343434343436	wm	pseudo	0.0009005642838351074
0.4444444444444445	wm	pseudo	0.0009639031851781687
0.4545454545454546	wm	pseudo	0.0010454997012034493
0.4646464646464647	wm	pseudo	0.0011438561524008731
0.4747474747474748	wm	pseudo	0.0012574748592603664
0.48484848484848486	wm	pseudo	0.0013848581422718517
0.494949494949495	wm	pseudo	0.0015245083219252572
0.5050505050505051	wm	pseudo	0.0016781136776417116
0.5151515151515152	wm	pseudo	0.0018613523114473112
0.5252525252525253	wm	pseudo	0.0020709547964104617
0.5353535353535354	wm	pseudo	0.0023002501942182493
0.5454545454545455	wm	pseudo	0.002542567566557761
0.5555555555555556	wm	pseudo	0.0027912359751160764
0.5656565656565657	wm	pseudo	0.0030395844815802853
0.5757575757575758	wm	pseudo	0.0032827391258247146
0.5858585858585859	wm	pseudo	0.0035295270003343443
0.595959595959596	wm	pseudo	0.003779036458822863
0.6060606060606061	wm	pseudo	0.004027308833684612
0.6161616161616162	wm	pseudo	0.004270385457313947
0.6262626262626263	wm	pseudo	0.004504802539486441
0.6363636363636365	wm	pseudo	0.0047636646313486825
0.6464646464646465	wm	pseudo	0.005060904431177644
0.6565656565656566	wm	pseudo	0.005385275724184546
0.6666666666666667	wm	pseudo	0.005725532295580607
0.6767676767676768	wm	pseudo	0.006070427930577038
0.686868686868687	wm	pseudo	0.006408716414385063
0.696969696969697	wm	pseudo	0.00672915153221589
0.7070707070707072	wm	pseudo	0.007020487069280742
0.7171717171717172	wm	pseudo	0.007271476810790833
0.7272727272727273	wm	pseudo	0.007470874541957375
0.7373737373737375	wm	pseudo	0.007607434047991596
0.7474747474747475	wm	pseudo	0.007669909114104702
0.7575757575757577	wm	pseudo	0.007659112455037293
0.7676767676767677	wm	pseudo	0.007603148478694608
0.7777777777777778	wm	pseudo	0.007511252846101761
0.787878787878788	wm	pseudo	0.007391522831906674
0.797979797979798	wm	pseudo	0.007252055710757273
0.8080808080808082	wm	pseudo	0.007100948757301478
0.8181818181818182	wm	pseudo	0.00694629924618722
0.8282828282828284	wm	pseudo	0.006796204452062418
0.8383838383838385	wm	pseudo	0.006658761649574997
0.8484848484848485	wm	pseudo	0.006542068113372884
0.8585858585858587	wm	pseudo	0.006454123592335126
0.8686868686868687	wm	pseudo	0.006397223895777594
0.8787878787878789	wm	pseudo	0.006375874318847412
0.888888888888889	wm	pseudo	0.0063885994548114455
0.8989898989898991	wm	pseudo	0.006432833980573642
