analysis_set	grouping	group	seed	n_items	mean_gate	mean_lexical_confidence	mean_margin	mean_density
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Real words|correct	20	671	0.4587001525165427	0.6161221989753882	0.015107291155174086	370.13421073436024
LICHTHEIM_CLEAN	lexicality	Pseudowords	20	391	0.4290325347419895	0.5558396402527305	0.016581837478501064	541.6806877019155
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|3	20	47	0.4629572591883071	0.624569980387992	0.01638150722422493	290.0516848868512
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|4	20	78	0.43122932735161906	0.5601856861359034	0.015534141506904166	558.4796337959094
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|5	20	66	0.4223790055874622	0.542398576483582	0.016523807337789777	588.4812707612009
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|7	20	66	0.41796735696720355	0.5330825434489683	0.0162580519011526	614.3510010459206
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|8	20	68	0.4270138473195188	0.5518962355221019	0.017986145527923755	563.8367822310504
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|9	20	66	0.422076376098575	0.5420201334989432	0.016897635929512208	558.7193505258272
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|correct	20	390	0.42912677228450774	0.5560312020472992	0.016589026344128097	539.1496020879501
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|incorrect	20	1	0.3922798931598663	0.4811305403709411	0.0137781798839569	1528.8040771484375
ALL_WITH_EXPOSURE_STRATA	exposure_status	NOVEL_PSEUDOWORD	20	391	0.4290325347419895	0.5558396402527305	0.016581837478501064	541.6806877019155
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_HOMOPHONE	20	4	0.3973345085978508	0.49111146479845047	0.016040489077568026	770.7144165039062
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_WORD	20	5	0.47765817642211916	0.6543284356594086	0.01459499001502984	292.1096221923828
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_EXACT	20	671	0.4587001525165427	0.6161221989753882	0.015107291155174086	370.13421073436024
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_PRON_VARIANT	20	7	0.48911233033452717	0.678168671471732	0.019293989453996872	116.20253208705357
ALL_WITH_EXPOSURE_STRATA	exposure_status	UNTRAINED_REAL	20	122	0.44166544030924315	0.5815443022817862	0.015319793439302244	409.12905377247296
LICHTHEIM_CLEAN	lexicality	Real words	21	671	0.45895752319635824	0.6166619020673806	0.016901974217902304	345.66892635697934
LICHTHEIM_CLEAN	lexicality_x_length	Real words|3	21	100	0.49414910495281217	0.6878235214948654	0.015073195099830582	205.47094781875612
LICHTHEIM_CLEAN	lexicality_x_length	Real words|4	21	98	0.46304455125818444	0.624750015382864	0.017106227728785256	320.9949988929593
LICHTHEIM_CLEAN	lexicality_x_length	Real words|5	21	143	0.45248917307887043	0.6034730533203045	0.016337636050644408	374.6079290830172
LICHTHEIM_CLEAN	lexicality_x_length	Real words|7	21	176	0.4539550683376464	0.6066767493770882	0.0180426780134439	373.99899141896856
LICHTHEIM_CLEAN	lexicality_x_length	Real words|8	21	88	0.4459954229268161	0.5905846577476371	0.017204927788539312	419.3419825380499
LICHTHEIM_CLEAN	lexicality_x_length	Real words|9	21	66	0.44420576592286426	0.5868042156551824	0.01714648396679844	358.24839545741224
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Real words|correct	21	671	0.45895752319635824	0.6166619020673806	0.016901974217902304	345.66892635697934
LICHTHEIM_CLEAN	lexicality	Pseudowords	21	391	0.42430063754396363	0.5462534582370993	0.014901184669845803	536.745580151258
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|3	21	47	0.4591106911923023	0.6168898559631185	0.015116425904821805	275.7536217709805
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|4	21	78	0.4329814708385712	0.5637402870716193	0.01403126655480796	465.5515829233023
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|5	21	66	0.41907180484497186	0.5357133181709232	0.014012386401494293	596.1266274885697
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|7	21	66	0.4112968133254485	0.5194977264512669	0.01294755845358873	657.8690509218159
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|8	21	68	0.4229844734072685	0.5439354216351229	0.017842706950271788	592.8653761919807
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|9	21	66	0.4088411981409246	0.51496968079697	0.015587757031122789	568.4169362386068
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|correct	21	384	0.42494157042043906	0.5475696896513303	0.014686545201887639	532.33800877134
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|incorrect	21	7	0.38914089117731365	0.47404876351356506	0.026675692626408096	778.5323529924665
ALL_WITH_EXPOSURE_STRATA	exposure_status	NOVEL_PSEUDOWORD	21	391	0.42430063754396363	0.5462534582370993	0.014901184669845803	536.745580151258
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_HOMOPHONE	21	4	0.40127114206552505	0.4997396171092987	0.0123594403266906	796.2158966064453
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_WORD	21	5	0.47313259840011596	0.6451037645339965	0.018156588077545124	213.60857238769532
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_EXACT	21	671	0.45895752319635824	0.6166619020673806	0.016901974217902304	345.66892635697934
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_PRON_VARIANT	21	7	0.4416537582874298	0.5813970480646405	0.014537649495261	387.9572056361607
ALL_WITH_EXPOSURE_STRATA	exposure_status	UNTRAINED_REAL	21	122	0.43928770159111646	0.5768472464358221	0.015224531048633966	368.9080442209713
LICHTHEIM_CLEAN	lexicality	Real words	22	671	0.4569099615654185	0.6124352472105609	0.015820041187829256	374.5067263026174
LICHTHEIM_CLEAN	lexicality_x_length	Real words|3	22	100	0.48852245569229125	0.6763061532378196	0.0168156766891479	233.70035922527313
LICHTHEIM_CLEAN	lexicality_x_length	Real words|4	22	98	0.4597855319782179	0.6180775861959068	0.016893018569265048	359.9811547727001
LICHTHEIM_CLEAN	lexicality_x_length	Real words|5	22	143	0.45034211728122686	0.5992091498174867	0.014769514957507958	412.25988297362426
LICHTHEIM_CLEAN	lexicality_x_length	Real words|7	22	176	0.4530314418741248	0.6046845682642676	0.016228251328522462	385.78158977898687
LICHTHEIM_CLEAN	lexicality_x_length	Real words|8	22	88	0.44307931004600093	0.5844510268758644	0.014191921800374941	430.9513774785128
LICHTHEIM_CLEAN	lexicality_x_length	Real words|9	22	66	0.44775637397260376	0.5939204439972386	0.0160766993508194	422.2936359752308
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Real words|correct	22	671	0.4569099615654185	0.6124352472105609	0.015820041187829256	374.5067263026174
LICHTHEIM_CLEAN	lexicality	Pseudowords	22	391	0.42698019925895553	0.551576135408543	0.015038138841424102	561.8195042768708
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|3	22	47	0.462291013053123	0.6233371464495964	0.01729069238013405	299.30800011817445
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|4	22	78	0.44302987173581737	0.5841004424370252	0.014652048165981547	547.2261495834742
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|5	22	66	0.42232380491314514	0.5419707677581094	0.01572113145481452	652.8803882309885
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|7	22	66	0.41414479234001855	0.5251485836325269	0.014055476044163514	619.3366881861831
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|8	22	68	0.41424145681016583	0.5259968169471797	0.014592822421999484	584.4032237109016
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|9	22	66	0.4134833912054698	0.5244231485959255	0.014648817705385555	594.1600642926766
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|correct	22	390	0.4269673297038445	0.5515464568749452	0.0150631229846905	561.6420205776508
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|incorrect	22	1	0.4319993257522583	0.5631507635116577	0.0052943229675292	631.0381469726562
ALL_WITH_EXPOSURE_STRATA	exposure_status	NOVEL_PSEUDOWORD	22	391	0.42698019925895553	0.551576135408543	0.015038138841424102	561.8195042768708
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_HOMOPHONE	22	4	0.4008815363049507	0.49909254908561707	0.00997391343116755	695.7691955566406
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_WORD	22	5	0.4590506851673126	0.6171504080295562	0.01837779283523554	188.14779968261718
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_EXACT	22	671	0.4569099615654185	0.6124352472105609	0.015820041187829256	374.5067263026174
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_PRON_VARIANT	22	7	0.48932428445134846	0.6782512579645429	0.013635933399200398	192.6173607962472
ALL_WITH_EXPOSURE_STRATA	exposure_status	UNTRAINED_REAL	22	122	0.4350289360421603	0.5679863708429649	0.016112642454319273	396.4810377027168
