route	source_lexicality	label	phoneme_length	position_index_1based	relative_position	n_items_x_seeds	error_count	error_rate_per_item
wm	pseudo	Pseudowords	8	1	0.0	272	0.0	0.0
wm	pseudo	Pseudowords	8	2	0.14285714285714285	272	0.0	0.0
wm	pseudo	Pseudowords	8	3	0.2857142857142857	272	0.0	0.0
wm	pseudo	Pseudowords	8	4	0.42857142857142855	272	0.0	0.0
wm	pseudo	Pseudowords	8	5	0.5714285714285714	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	6	0.7142857142857143	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	7	0.8571428571428571	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	8	1.0	272	0.0	0.0
wm	pseudo	Pseudowords	9	1	0.0	264	0.0	0.0
wm	pseudo	Pseudowords	9	2	0.125	264	0.0	0.0
wm	pseudo	Pseudowords	9	3	0.25	264	0.0	0.0
wm	pseudo	Pseudowords	9	4	0.375	264	1.0	0.003787878787878788
wm	pseudo	Pseudowords	9	5	0.5	264	2.0	0.007575757575757576
wm	pseudo	Pseudowords	9	6	0.625	264	6.0	0.022727272727272728
wm	pseudo	Pseudowords	9	7	0.75	264	11.0	0.041666666666666664
wm	pseudo	Pseudowords	9	8	0.875	264	9.0	0.03409090909090909
wm	pseudo	Pseudowords	9	9	1.0	264	13.0	0.04924242424242424
wm	real	Real words	3	1	0.0	460	0.0	0.0
wm	real	Real words	3	2	0.5	460	0.0	0.0
wm	real	Real words	3	3	1.0	460	0.0	0.0
wm	real	Real words	4	1	0.0	440	0.0	0.0
wm	real	Real words	4	2	0.3333333333333333	440	0.0	0.0
wm	real	Real words	4	3	0.6666666666666666	440	0.0	0.0
wm	real	Real words	4	4	1.0	440	0.0	0.0
wm	real	Real words	5	1	0.0	700	0.0	0.0
wm	real	Real words	5	2	0.25	700	0.0	0.0
wm	real	Real words	5	3	0.5	700	0.0	0.0
wm	real	Real words	5	4	0.75	700	0.0	0.0
wm	real	Real words	5	5	1.0	700	0.0	0.0
wm	real	Real words	7	1	0.0	808	1.0	0.0012376237623762376
wm	real	Real words	7	2	0.16666666666666666	808	0.0	0.0
wm	real	Real words	7	3	0.3333333333333333	808	0.0	0.0
wm	real	Real words	7	4	0.5	808	0.0	0.0
wm	real	Real words	7	5	0.6666666666666666	808	0.0	0.0
wm	real	Real words	7	6	0.8333333333333334	808	0.0	0.0
wm	real	Real words	7	7	1.0	808	0.0	0.0
wm	real	Real words	8	1	0.0	448	0.0	0.0
wm	real	Real words	8	2	0.14285714285714285	448	0.0	0.0
wm	real	Real words	8	3	0.2857142857142857	448	0.0	0.0
wm	real	Real words	8	4	0.42857142857142855	448	0.0	0.0
wm	real	Real words	8	5	0.5714285714285714	448	1.0	0.002232142857142857
wm	real	Real words	8	6	0.7142857142857143	448	2.0	0.004464285714285714
wm	real	Real words	8	7	0.8571428571428571	448	1.0	0.002232142857142857
wm	real	Real words	8	8	1.0	448	0.0	0.0
wm	real	Real words	9	1	0.0	344	0.0	0.0
wm	real	Real words	9	2	0.125	344	0.0	0.0
wm	real	Real words	9	3	0.25	344	0.0	0.0
wm	real	Real words	9	4	0.375	344	0.0	0.0
wm	real	Real words	9	5	0.5	344	1.0	0.0029069767441860465
wm	real	Real words	9	6	0.625	344	1.0	0.0029069767441860465
wm	real	Real words	9	7	0.75	344	3.0	0.00872093023255814
wm	real	Real words	9	8	0.875	344	2.0	0.005813953488372093
wm	real	Real words	9	9	1.0	344	1.0	0.0029069767441860465
