route	source_lexicality	label	relative_position	interpolated_error_rate	n_items_x_seeds_total
full	pseudo	Pseudowords	0.36363636363636365	1.4556724267468222e-05	1600
full	pseudo	Pseudowords	0.37373737373737376	1.9001874679855715e-07	1600
full	pseudo	Pseudowords	0.38383838383838387	8.932169362227578e-06	1600
full	pseudo	Pseudowords	0.393939393939394	3.869619055569484e-05	1600
full	pseudo	Pseudowords	0.4040404040404041	8.552711586840781e-05	1600
full	pseudo	Pseudowords	0.4141414141414142	0.00014546740231619363	1600
full	pseudo	Pseudowords	0.42424242424242425	0.00021455950691487893	1600
full	pseudo	Pseudowords	0.43434343434343436	0.0002888458866802915	1600
full	pseudo	Pseudowords	0.4444444444444445	0.0003643689986282581	1600
full	pseudo	Pseudowords	0.4545454545454546	0.00043717129977460583	1600
full	pseudo	Pseudowords	0.4646464646464647	0.0005032952471351618	1600
full	pseudo	Pseudowords	0.4747474747474748	0.0005587832977257529	1600
full	pseudo	Pseudowords	0.48484848484848486	0.000599677908562206	1600
full	pseudo	Pseudowords	0.494949494949495	0.0006220215366603492	1600
full	pseudo	Pseudowords	0.5050505050505051	0.000625	1600
full	pseudo	Pseudowords	0.5151515151515152	0.000625	1600
full	pseudo	Pseudowords	0.5252525252525253	0.000625	1600
full	pseudo	Pseudowords	0.5353535353535354	0.000625	1600
full	pseudo	Pseudowords	0.5454545454545455	0.000625	1600
full	pseudo	Pseudowords	0.5555555555555556	0.000625	1600
full	pseudo	Pseudowords	0.5656565656565657	0.000625	1600
full	pseudo	Pseudowords	0.5757575757575758	0.000625	1600
full	pseudo	Pseudowords	0.5858585858585859	0.000625	1600
full	pseudo	Pseudowords	0.595959595959596	0.000625	1600
full	pseudo	Pseudowords	0.6060606060606061	0.000625	1600
full	pseudo	Pseudowords	0.6161616161616162	0.000625	1600
full	pseudo	Pseudowords	0.6262626262626263	0.0006263301312275908	1600
full	pseudo	Pseudowords	0.6363636363636365	0.0007268970698722783	1600
full	pseudo	Pseudowords	0.6464646464646465	0.0009677094380185919	1600
full	pseudo	Pseudowords	0.6565656565656566	0.0013210644347773214	1600
full	pseudo	Pseudowords	0.6666666666666667	0.0017592592592592627	1600
full	pseudo	Pseudowords	0.6767676767676768	0.002254591110575195	1600
full	pseudo	Pseudowords	0.686868686868687	0.0027793571878359197	1600
full	pseudo	Pseudowords	0.696969696969697	0.0033058546901522136	1600
full	pseudo	Pseudowords	0.7070707070707072	0.0038063808166348767	1600
full	pseudo	Pseudowords	0.7171717171717172	0.004253232766394691	1600
full	pseudo	Pseudowords	0.7272727272727273	0.004618707738542448	1600
full	pseudo	Pseudowords	0.7373737373737375	0.004875102932188944	1600
full	pseudo	Pseudowords	0.7474747474747475	0.00499471554644496	1600
full	pseudo	Pseudowords	0.7575757575757577	0.004986782424798953	1600
full	pseudo	Pseudowords	0.7676767676767677	0.004932077637923981	1600
full	pseudo	Pseudowords	0.7777777777777778	0.004842249657064472	1600
full	pseudo	Pseudowords	0.787878787878788	0.0047252135681887745	1600
full	pseudo	Pseudowords	0.797979797979798	0.004588884457265234	1600
full	pseudo	Pseudowords	0.8080808080808082	0.004441177410262197	1600
full	pseudo	Pseudowords	0.8181818181818182	0.0042900075131480095	1600
full	pseudo	Pseudowords	0.8282828282828284	0.004143289851891014	1600
full	pseudo	Pseudowords	0.8383838383838385	0.0040089395124595605	1600
full	pseudo	Pseudowords	0.8484848484848485	0.0038948715808219936	1600
full	pseudo	Pseudowords	0.8585858585858587	0.0038090011429466586	1600
full	pseudo	Pseudowords	0.8686868686868687	0.003759243284801901	1600
full	pseudo	Pseudowords	0.8787878787878789	0.0037537043993655568	1600
full	pseudo	Pseudowords	0.888888888888889	0.003798868312757202	1600
full	pseudo	Pseudowords	0.8989898989898991	0.0038930068205779884	1600
full	pseudo	Pseudowords	0.9090909090909092	0.004033151765589784	1600
full	pseudo	Pseudowords	0.9191919191919192	0.004216334990554458	1600
full	pseudo	Pseudowords	0.9292929292929294	0.004439588338233887	1600
full	pseudo	Pseudowords	0.9393939393939394	0.004699943651389933	1600
full	pseudo	Pseudowords	0.9494949494949496	0.004994432772784475	1600
full	pseudo	Pseudowords	0.9595959595959597	0.005320087545179375	1600
full	pseudo	Pseudowords	0.9696969696969697	0.005673939811336507	1600
full	pseudo	Pseudowords	0.9797979797979799	0.006053021414017744	1600
full	pseudo	Pseudowords	0.98989898989899	0.006454364195984951	1600
full	pseudo	Pseudowords	1.0	0.006875	1600
full	real	Real words	0.0	0.0003125	3200
full	real	Real words	0.010101010101010102	0.0002757690541781451	3200
full	real	Real words	0.020202020202020204	0.00024133379247015614	3200
full	real	Real words	0.030303030303030304	0.00020919421487603307	3200
full	real	Real words	0.04040404040404041	0.00017935032139577593	3200
full	real	Real words	0.05050505050505051	0.00015180211202938475	3200
full	real	Real words	0.06060606060606061	0.0001265495867768595	3200
full	real	Real words	0.07070707070707072	0.00010359274563820017	3200
full	real	Real words	0.08080808080808081	8.293158861340679e-05	3200
full	real	Real words	0.09090909090909091	6.45661157024793e-05	3200
full	real	Real words	0.10101010101010102	4.8496326905417786e-05	3200
full	real	Real words	0.11111111111111112	3.472222222222219e-05	3200
full	real	Real words	0.12121212121212122	2.3243801652892564e-05	3200
full	real	Real words	0.13131313131313133	1.406106519742885e-05	3200
full	real	Real words	0.14141414141414144	7.17401285583107e-06	3200
full	real	Real words	0.15151515151515152	2.582644628099198e-06	3200
full	real	Real words	0.16161616161616163	2.869605142332625e-07	3200
full	real	Real words	0.17171717171717174	8.434899963825691e-07	3200
full	real	Real words	0.18181818181818182	7.278362133734048e-06	3200
full	real	Real words	0.19191919191919193	1.9348095277847374e-05	3200
full	real	Real words	0.20202020202020204	3.621789520549858e-05	3200
full	real	Real words	0.21212121212121213	5.7052967693463584e-05	3200
full	real	Real words	0.22222222222222224	8.101851851851857e-05	3200
full	real	Real words	0.23232323232323235	0.00010727975345743952	3200
full	real	Real words	0.24242424242424243	0.00013500187828700228	3200
full	real	Real words	0.25252525252525254	0.00016335009878398318	3200
full	real	Real words	0.26262626262626265	0.000191489620725158	3200
full	real	Real words	0.27272727272727276	0.0002185856498873029	3200
full	real	Real words	0.2828282828282829	0.00024380339204719376	3200
full	real	Real words	0.29292929292929293	0.00026630805298160666	3200
full	real	Real words	0.30303030303030304	0.0002852648384673178	3200
full	real	Real words	0.31313131313131315	0.000299838954281103	3200
full	real	Real words	0.32323232323232326	0.00030919560619973837	3200
full	real	Real words	0.33333333333333337	0.0003125	3200
full	real	Real words	0.3434343434343435	0.00030919560619973837	3200
full	real	Real words	0.3535353535353536	0.00029983895428110295	3200
full	real	Real words	0.36363636363636365	0.00028526483846731774	3200
full	real	Real words	0.37373737373737376	0.00026630805298160666	3200
full	real	Real words	0.38383838383838387	0.00024380339204719357	3200
full	real	Real words	0.393939393939394	0.00021858564988730265	3200
full	real	Real words	0.4040404040404041	0.00019148962072515773	3200
full	real	Real words	0.4141414141414142	0.00016335009878398288	3200
full	real	Real words	0.42424242424242425	0.00013500187828700223	3200
full	real	Real words	0.43434343434343436	0.00010727975345743934	3200
full	real	Real words	0.4444444444444445	8.101851851851838e-05	3200
full	real	Real words	0.4545454545454546	5.70529676934634e-05	3200
full	real	Real words	0.4646464646464647	3.6217895205498295e-05	3200
full	real	Real words	0.4747474747474748	1.9348095277847242e-05	3200
