dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	9	33	OK	0.06060606060606061	0.06060606060606061	2.0	2
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	9	33	OK	0.06060606060606061	0.030303030303030304	2.0	1
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	9	33	OK	0.18181818181818182	0.12121212121212122	6.0	4
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	9	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	3	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	3	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	3	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	3	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	9	33	OK	0.21212121212121213	0.12121212121212122	7.0	4
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	9	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	9	33	OK	0.18181818181818182	0.09090909090909091	6.0	3
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	9	33	OK	0.06060606060606061	0.030303030303030304	2.0	1
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	8	64	OK	0.03125	0.015625	2.0	1
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	8	64	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	8	64	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	8	64	OK	0.03125	0.015625	2.0	1
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	9	58	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	7	124	OK	0.016129032258064516	0.008064516129032258	2.0	1
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	9	28	OK	0.07142857142857142	0.03571428571428571	2.0	1
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	9	28	OK	0.03571428571428571	0.03571428571428571	1.0	1
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	9	28	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	9	28	OK	0.0	0.0	0.0	0
