route	source_lexicality	label	phoneme_length	position_index_1based	relative_position	n_items_x_seeds	error_count	error_rate_per_item
wm	pseudo	Pseudowords	5	3	0.5	264	0.0	0.0
wm	pseudo	Pseudowords	5	4	0.75	264	0.0	0.0
wm	pseudo	Pseudowords	5	5	1.0	264	0.0	0.0
wm	pseudo	Pseudowords	7	1	0.0	264	0.0	0.0
wm	pseudo	Pseudowords	7	2	0.16666666666666666	264	0.0	0.0
wm	pseudo	Pseudowords	7	3	0.3333333333333333	264	0.0	0.0
wm	pseudo	Pseudowords	7	4	0.5	264	0.0	0.0
wm	pseudo	Pseudowords	7	5	0.6666666666666666	264	0.0	0.0
wm	pseudo	Pseudowords	7	6	0.8333333333333334	264	0.0	0.0
wm	pseudo	Pseudowords	7	7	1.0	264	0.0	0.0
wm	pseudo	Pseudowords	8	1	0.0	272	0.0	0.0
wm	pseudo	Pseudowords	8	2	0.14285714285714285	272	0.0	0.0
wm	pseudo	Pseudowords	8	3	0.2857142857142857	272	0.0	0.0
wm	pseudo	Pseudowords	8	4	0.42857142857142855	272	0.0	0.0
wm	pseudo	Pseudowords	8	5	0.5714285714285714	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	6	0.7142857142857143	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	7	0.8571428571428571	272	1.0	0.003676470588235294
wm	pseudo	Pseudowords	8	8	1.0	272	0.0	0.0
wm	pseudo	Pseudowords	9	1	0.0	264	0.0	0.0
wm	pseudo	Pseudowords	9	2	0.125	264	0.0	0.0
wm	pseudo	Pseudowords	9	3	0.25	264	0.0	0.0
wm	pseudo	Pseudowords	9	4	0.375	264	1.0	0.003787878787878788
wm	pseudo	Pseudowords	9	5	0.5	264	2.0	0.007575757575757576
wm	pseudo	Pseudowords	9	6	0.625	264	6.0	0.022727272727272728
wm	pseudo	Pseudowords	9	7	0.75	264	11.0	0.041666666666666664
wm	pseudo	Pseudowords	9	8	0.875	264	9.0	0.03409090909090909
wm	pseudo	Pseudowords	9	9	1.0	264	13.0	0.04924242424242424
wm	real	Real words	3	1	0.0	400	0.0	0.0
wm	real	Real words	3	2	0.5	400	0.0	0.0
wm	real	Real words	3	3	1.0	400	0.0	0.0
wm	real	Real words	4	1	0.0	392	0.0	0.0
wm	real	Real words	4	2	0.3333333333333333	392	0.0	0.0
wm	real	Real words	4	3	0.6666666666666666	392	0.0	0.0
wm	real	Real words	4	4	1.0	392	0.0	0.0
wm	real	Real words	5	1	0.0	572	0.0	0.0
wm	real	Real words	5	2	0.25	572	0.0	0.0
wm	real	Real words	5	3	0.5	572	0.0	0.0
wm	real	Real words	5	4	0.75	572	0.0	0.0
wm	real	Real words	5	5	1.0	572	0.0	0.0
wm	real	Real words	7	1	0.0	704	0.0	0.0
wm	real	Real words	7	2	0.16666666666666666	704	0.0	0.0
wm	real	Real words	7	3	0.3333333333333333	704	0.0	0.0
wm	real	Real words	7	4	0.5	704	0.0	0.0
wm	real	Real words	7	5	0.6666666666666666	704	0.0	0.0
wm	real	Real words	7	6	0.8333333333333334	704	0.0	0.0
wm	real	Real words	7	7	1.0	704	0.0	0.0
wm	real	Real words	8	1	0.0	352	0.0	0.0
wm	real	Real words	8	2	0.14285714285714285	352	0.0	0.0
wm	real	Real words	8	3	0.2857142857142857	352	0.0	0.0
wm	real	Real words	8	4	0.42857142857142855	352	0.0	0.0
wm	real	Real words	8	5	0.5714285714285714	352	0.0	0.0
wm	real	Real words	8	6	0.7142857142857143	352	0.0	0.0
wm	real	Real words	8	7	0.8571428571428571	352	0.0	0.0
wm	real	Real words	8	8	1.0	352	0.0	0.0
wm	real	Real words	9	1	0.0	264	0.0	0.0
wm	real	Real words	9	2	0.125	264	0.0	0.0
wm	real	Real words	9	3	0.25	264	0.0	0.0
wm	real	Real words	9	4	0.375	264	0.0	0.0
wm	real	Real words	9	5	0.5	264	0.0	0.0
wm	real	Real words	9	6	0.625	264	0.0	0.0
wm	real	Real words	9	7	0.75	264	0.0	0.0
wm	real	Real words	9	8	0.875	264	0.0	0.0
wm	real	Real words	9	9	1.0	264	0.0	0.0
