route	source_lexicality	label	relative_position	interpolated_error_rate	n_items_x_seeds_total
ltm	pseudo	Pseudowords	0.26262626262626265	0.04031315878180602	1564
ltm	pseudo	Pseudowords	0.27272727272727276	0.04205870721805163	1564
ltm	pseudo	Pseudowords	0.2828282828282829	0.043842868782847384	1564
ltm	pseudo	Pseudowords	0.29292929292929293	0.04570536422753858	1564
ltm	pseudo	Pseudowords	0.30303030303030304	0.04775076113472057	1564
ltm	pseudo	Pseudowords	0.31313131313131315	0.049952576744894485	1564
ltm	pseudo	Pseudowords	0.32323232323232326	0.0522767535247031	1564
ltm	pseudo	Pseudowords	0.33333333333333337	0.0546892339407892	1564
ltm	pseudo	Pseudowords	0.3434343434343435	0.05716795102543831	1564
ltm	pseudo	Pseudowords	0.3535353535353536	0.05969120090871871	1564
ltm	pseudo	Pseudowords	0.36363636363636365	0.06222547070394725	1564
ltm	pseudo	Pseudowords	0.37373737373737376	0.06473724752444086	1564
ltm	pseudo	Pseudowords	0.38383838383838387	0.06721357209724096	1564
ltm	pseudo	Pseudowords	0.393939393939394	0.06964579305434399	1564
ltm	pseudo	Pseudowords	0.4040404040404041	0.07198744349797719	1564
ltm	pseudo	Pseudowords	0.4141414141414142	0.0741916021511802	1564
ltm	pseudo	Pseudowords	0.42424242424242425	0.07621134773699273	1564
ltm	pseudo	Pseudowords	0.43434343434343436	0.07803885697157109	1564
ltm	pseudo	Pseudowords	0.4444444444444445	0.07981944165613383	1564
ltm	pseudo	Pseudowords	0.4545454545454546	0.0815607914663071	1564
ltm	pseudo	Pseudowords	0.4646464646464647	0.08324963350916126	1564
ltm	pseudo	Pseudowords	0.4747474747474748	0.08487269489176669	1564
ltm	pseudo	Pseudowords	0.48484848484848486	0.08641670272119374	1564
ltm	pseudo	Pseudowords	0.494949494949495	0.08786838410451289	1564
ltm	pseudo	Pseudowords	0.5050505050505051	0.08922527440824393	1564
ltm	pseudo	Pseudowords	0.5151515151515152	0.09054647102140384	1564
ltm	pseudo	Pseudowords	0.5252525252525253	0.09184872894170583	1564
ltm	pseudo	Pseudowords	0.5353535353535354	0.0931388305435526	1564
ltm	pseudo	Pseudowords	0.5454545454545455	0.09442355820134678	1564
ltm	pseudo	Pseudowords	0.5555555555555556	0.095709694289491	1564
ltm	pseudo	Pseudowords	0.5656565656565657	0.09700402118238789	1564
ltm	pseudo	Pseudowords	0.5757575757575758	0.09833597110790336	1564
ltm	pseudo	Pseudowords	0.5858585858585859	0.09988275975505151	1564
ltm	pseudo	Pseudowords	0.595959595959596	0.10165451148991853	1564
ltm	pseudo	Pseudowords	0.6060606060606061	0.10361895912627692	1564
ltm	pseudo	Pseudowords	0.6161616161616162	0.1057438354778993	1564
ltm	pseudo	Pseudowords	0.6262626262626263	0.10799790510733033	1564
ltm	pseudo	Pseudowords	0.6363636363636365	0.1104184919061387	1564
ltm	pseudo	Pseudowords	0.6464646464646465	0.11297886481797777	1564
ltm	pseudo	Pseudowords	0.6565656565656566	0.11559515214610103	1564
ltm	pseudo	Pseudowords	0.6666666666666667	0.11818348219376179	1564
ltm	pseudo	Pseudowords	0.6767676767676768	0.12069617468166692	1564
ltm	pseudo	Pseudowords	0.686868686868687	0.12308953391713952	1564
ltm	pseudo	Pseudowords	0.696969696969697	0.1252856650833574	1564
ltm	pseudo	Pseudowords	0.7070707070707072	0.12720667336349842	1564
ltm	pseudo	Pseudowords	0.7171717171717172	0.12878425868988916	1564
ltm	pseudo	Pseudowords	0.7272727272727273	0.13011635198389435	1564
ltm	pseudo	Pseudowords	0.7373737373737375	0.13121928596684973	1564
ltm	pseudo	Pseudowords	0.7474747474747475	0.132052610225864	1564
ltm	pseudo	Pseudowords	0.7575757575757577	0.132650124469864	1564
ltm	pseudo	Pseudowords	0.7676767676767677	0.1331780052474312	1564
ltm	pseudo	Pseudowords	0.7777777777777778	0.1336527671194346	1564
ltm	pseudo	Pseudowords	0.787878787878788	0.13408318742226288	1564
ltm	pseudo	Pseudowords	0.797979797979798	0.1344780434923047	1564
ltm	pseudo	Pseudowords	0.8080808080808082	0.13484611266594865	1564
ltm	pseudo	Pseudowords	0.8181818181818182	0.13519617227958333	1564
ltm	pseudo	Pseudowords	0.8282828282828284	0.13553699966959748	1564
ltm	pseudo	Pseudowords	0.8383838383838385	0.1358843465827698	1564
ltm	pseudo	Pseudowords	0.8484848484848485	0.13628755580367624	1564
ltm	pseudo	Pseudowords	0.8585858585858587	0.13675916336455446	1564
ltm	pseudo	Pseudowords	0.8686868686868687	0.13730774311559418	1564
ltm	pseudo	Pseudowords	0.8787878787878789	0.13794240802336172	1564
ltm	pseudo	Pseudowords	0.888888888888889	0.13869347703296742	1564
ltm	pseudo	Pseudowords	0.8989898989898991	0.13955941940527	1564
ltm	pseudo	Pseudowords	0.9090909090909092	0.14052949439011875	1564
ltm	pseudo	Pseudowords	0.9191919191919192	0.1415929612373631	1564
ltm	pseudo	Pseudowords	0.9292929292929294	0.1427390791968523	1564
ltm	pseudo	Pseudowords	0.9393939393939394	0.14395710751843574	1564
ltm	pseudo	Pseudowords	0.9494949494949496	0.14523630545196275	1564
ltm	pseudo	Pseudowords	0.9595959595959597	0.1465659322472827	1564
ltm	pseudo	Pseudowords	0.9696969696969697	0.14793524715424486	1564
ltm	pseudo	Pseudowords	0.9797979797979799	0.1493335094226986	1564
ltm	pseudo	Pseudowords	0.98989898989899	0.15074997830249331	1564
ltm	pseudo	Pseudowords	1.0	0.15217391304347827	1564
ltm	real	Real words	0.0	0.0	2684
ltm	real	Real words	0.010101010101010102	0.00010289244671179909	2684
ltm	real	Real words	0.020202020202020204	0.0002007693085476292	2684
ltm	real	Real words	0.030303030303030304	0.0002935568607872189	2684
ltm	real	Real words	0.04040404040404041	0.0003811813787102966	2684
ltm	real	Real words	0.05050505050505051	0.000463569137596591	2684
ltm	real	Real words	0.06060606060606061	0.0005406464127258304	2684
ltm	real	Real words	0.07070707070707072	0.0006123394793777437	2684
ltm	real	Real words	0.08080808080808081	0.0006785746128320588	2684
ltm	real	Real words	0.09090909090909091	0.000739278088368505	2684
ltm	real	Real words	0.10101010101010102	0.0007943761812668102	2684
ltm	real	Real words	0.11111111111111112	0.0008437951668067029	2684
ltm	real	Real words	0.12121212121212122	0.0008874613202679121	2684
ltm	real	Real words	0.13131313131313133	0.0009253009169301661	2684
ltm	real	Real words	0.14141414141414144	0.0009572402320731935	2684
ltm	real	Real words	0.15151515151515152	0.0009806343913572547	2684
ltm	real	Real words	0.16161616161616163	0.0009919615034577147	2684
ltm	real	Real words	0.17171717171717174	0.0009926515207615055	2684
ltm	real	Real words	0.18181818181818182	0.0009842111922391756	2684
ltm	real	Real words	0.19191919191919193	0.0009681472668612731	2684
ltm	real	Real words	0.20202020202020204	0.0009459664935983463	2684
ltm	real	Real words	0.21212121212121213	0.000919175621420944	2684
ltm	real	Real words	0.22222222222222224	0.0008892813992996143	2684
ltm	real	Real words	0.23232323232323235	0.000857790576204905	2684
ltm	real	Real words	0.24242424242424243	0.000826209901107365	2684
ltm	real	Real words	0.25252525252525254	0.0007963170869234015	2684
ltm	real	Real words	0.26262626262626265	0.0007754328959805271	2684
ltm	real	Real words	0.27272727272727276	0.0007669905195493006	2684
ltm	real	Real words	0.2828282828282829	0.0007719314837448564	2684
ltm	real	Real words	0.29292929292929293	0.0007910053232232863	2684
ltm	real	Real words	0.30303030303030304	0.0008230754485470731	2684
ltm	real	Real words	0.31313131313131315	0.000865934725903089	2684
ltm	real	Real words	0.32323232323232326	0.000917363734024828	2684
ltm	real	Real words	0.33333333333333337	0.0009751430516457843	2684
ltm	real	Real words	0.3434343434343435	0.001043218487232154	2684
ltm	real	Real words	0.3535353535353536	0.001124651152606876	2684
ltm	real	Real words	0.36363636363636365	0.001215894581538557	2684
ltm	real	Real words	0.37373737373737376	0.0013134023077958057	2684
ltm	real	Real words	0.38383838383838387	0.0014178863637030492	2684
ltm	real	Real words	0.393939393939394	0.0015321183379629932	2684
ltm	real	Real words	0.4040404040404041	0.0016518543233707043	2684
ltm	real	Real words	0.4141414141414142	0.0017727614566785616	2684
ltm	real	Real words	0.42424242424242425	0.001890506874638942	2684
ltm	real	Real words	0.43434343434343436	0.002000856013631254	2684
ltm	real	Real words	0.4444444444444445	0.0021012254365826524	2684
ltm	real	Real words	0.4545454545454546	0.002190401757472	2684
ltm	real	Real words	0.4646464646464647	0.002267213060433315	2684
ltm	real	Real words	0.4747474747474748	0.002330487429600617	2684
ltm	real	Real words	0.48484848484848486	0.002379052949107922	2684
ltm	real	Real words	0.494949494949495	0.00241173770308925	2684
ltm	real	Real words	0.5050505050505051	0.0024291927985793586	2684
ltm	real	Real words	0.5151515151515152	0.0024422949357157994	2684
ltm	real	Real words	0.5252525252525253	0.0024545331112865586	2684
ltm	real	Real words	0.5353535353535354	0.002467696685689892	2684
ltm	real	Real words	0.5454545454545455	0.0024835750193240554	2684
ltm	real	Real words	0.5555555555555556	0.002503957472587304	2684
ltm	real	Real words	0.5656565656565657	0.0025306334058778947	2684
ltm	real	Real words	0.5757575757575758	0.0025653507094389296	2684
ltm	real	Real words	0.5858585858585859	0.0026084872224617995	2684
ltm	real	Real words	0.595959595959596	0.00265876965759015	2684
ltm	real	Real words	0.6060606060606061	0.002714826427840596	2684
ltm	real	Real words	0.6161616161616162	0.0027752859462297557	2684
ltm	real	Real words	0.6262626262626263	0.0028388014566696116	2684
ltm	real	Real words	0.6363636363636365	0.0029056064207743587	2684
ltm	real	Real words	0.6464646464646465	0.002974173866473095	2684
ltm	real	Real words	0.6565656565656566	0.0030415594127499797	2684
ltm	real	Real words	0.6666666666666667	0.0031048186785891715	2684
ltm	real	Real words	0.6767676767676768	0.0031554641055694123	2684
ltm	real	Real words	0.686868686868687	0.0031865563543951544	2684
ltm	real	Real words	0.696969696969697	0.003197473372739104	2684
ltm	real	Real words	0.7070707070707072	0.0031875931082739712	2684
ltm	real	Real words	0.7171717171717172	0.003156755824105835	2684
ltm	real	Real words	0.7272727272727273	0.0031127498457621254	2684
ltm	real	Real words	0.7373737373737375	0.0030592886720435973	2684
ltm	real	Real words	0.7474747474747475	0.0029973307243137824	2684
ltm	real	Real words	0.7575757575757577	0.0029260201046482767	2684
ltm	real	Real words	0.7676767676767677	0.0028436112267014885	2684
ltm	real	Real words	0.7777777777777778	0.0027542169315089775	2684
ltm	real	Real words	0.787878787878788	0.0026621869775667606	2684
ltm	real	Real words	0.797979797979798	0.0025718711233708564	2684
ltm	real	Real words	0.8080808080808082	0.00248761912741728	2684
ltm	real	Real words	0.8181818181818182	0.002413780748202051	2684
ltm	real	Real words	0.8282828282828284	0.002354705744221185	2684
ltm	real	Real words	0.8383838383838385	0.0023128258792948866	2684
ltm	real	Real words	0.8484848484848485	0.002280329788920642	2684
