dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items	mean_across_seeds	word_error_rate_across_seeds	n_items_per_seed
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0	0.0	0.0	78
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0	0.0	0.0	78
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0	0.0	0.0	78
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	8	64	OK	0.03125	0.015625	2.0	1	0.015625	0.0078125	64
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	8	64	OK	0.0	0.0	0.0	0	0.015625	0.0078125	64
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	8	64	OK	0.0	0.0	0.0	0	0.015625	0.0078125	64
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	8	64	OK	0.03125	0.015625	2.0	1	0.015625	0.0078125	64
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1	0.01293103448275862	0.01293103448275862	58
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1	0.01293103448275862	0.01293103448275862	58
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	9	58	OK	0.017241379310344827	0.017241379310344827	1.0	1	0.01293103448275862	0.01293103448275862	58
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	9	58	OK	0.0	0.0	0.0	0	0.01293103448275862	0.01293103448275862	58
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0	0.0	0.0	86
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0	0.0	0.0	86
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0	0.0	0.0	86
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	3	86	OK	0.0	0.0	0.0	0	0.0	0.0	86
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0	0.0	0.0	69
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0	0.0	0.0	69
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0	0.0	0.0	69
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	4	69	OK	0.0	0.0	0.0	0	0.0	0.0	69
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	5	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0	0.004032258064516129	0.0020161290322580645	124
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0	0.004032258064516129	0.0020161290322580645	124
