space	lexicon_index	word	pc1	pc2
glove	170	very	-0.610014796257019	0.17424112558364868
glove	171	privacy	-0.28413376212120056	0.11856019496917725
glove	172	book	-0.47972583770751953	-0.10225386172533035
glove	173	items	-0.4051191210746765	0.14749141037464142
glove	174	company	-0.5814526677131653	-0.08986251056194305
glove	175	r	-0.26828259229660034	-0.1704532355070114
glove	176	read	-0.44162485003471375	-0.05199036747217178
glove	177	group	-0.5458315014839172	-0.05505019798874855
glove	178	sex	-0.38422879576683044	0.09507874399423599
glove	179	need	-0.6510445475578308	0.28751885890960693
glove	180	many	-0.6807339191436768	0.18554554879665375
glove	181	user	-0.31105393171310425	0.23101143538951874
glove	182	said	-0.627193808555603	-0.27182915806770325
glove	183	de	-0.32552269101142883	-0.26632216572761536
glove	184	does	-0.5907717347145081	0.13473360240459442
glove	185	set	-0.6302362680435181	0.018339263275265694
glove	186	under	-0.5978364944458008	-0.036231521517038345
glove	187	general	-0.5016330480575562	-0.16229933500289917
glove	188	research	-0.48950138688087463	-0.022731607779860497
glove	189	january	-0.5912846326828003	-0.23870700597763062
glove	190	mail	-0.3683531880378723	-0.0474308505654335
glove	191	full	-0.5905089974403381	0.15369699895381927
glove	192	map	-0.3311421275138855	0.09900417923927307
glove	193	reviews	-0.3165178596973419	-0.009212049655616283
glove	194	program	-0.5561790466308594	0.03493138402700424
glove	195	life	-0.5549227595329285	0.029975399374961853
glove	196	know	-0.5827385783195496	0.05507965013384819
glove	197	games	-0.49156004190444946	-0.05394840985536575
glove	198	way	-0.6845014691352844	0.14807718992233276
glove	199	days	-0.6735324263572693	0.004410478752106428
glove	200	management	-0.5106455087661743	0.0018263113452121615
glove	201	p	-0.22645257413387299	-0.08595889806747437
glove	202	part	-0.6809596419334412	0.029054095968604088
glove	203	could	-0.7053806185722351	0.15854862332344055
glove	204	great	-0.5461094379425049	-0.023192157968878746
glove	205	united	-0.6139981746673584	-0.09090215712785721
glove	206	hotel	-0.40261051058769226	-0.18855980038642883
glove	207	real	-0.5376988649368286	0.07221293449401855
glove	208	f	-0.22046440839767456	-0.12889918684959412
glove	209	item	-0.29228687286376953	0.18664567172527313
glove	210	center	-0.4906919300556183	-0.16781623661518097
glove	211	ebay	-0.15861155092716217	-0.015093913301825523
glove	212	must	-0.6640125513076782	0.2366500049829483
glove	213	store	-0.40849569439888	-0.04573645442724228
glove	214	travel	-0.5117684602737427	0.04406017065048218
glove	215	comments	-0.4224744737148285	-0.009810470044612885
glove	216	made	-0.6317788362503052	-0.02837725356221199
glove	217	report	-0.5669758319854736	-0.030633948743343353
glove	218	off	-0.5936310887336731	-0.03324740380048752
glove	219	member	-0.4974430501461029	-0.2571518123149872
glove	220	details	-0.46836793422698975	0.11562688648700714
glove	221	line	-0.5128868818283081	-0.00371140637435019
glove	222	terms	-0.5471682548522949	0.22832006216049194
glove	223	before	-0.7089517712593079	-0.07864302396774292
glove	224	hotels	-0.32928794622421265	0.015312299132347107
glove	225	did	-0.6737706065177917	-0.04775729402899742
glove	226	send	-0.4729364514350891	0.08061153441667557
glove	227	right	-0.5653508901596069	0.05121232941746712
glove	228	type	-0.4131355881690979	0.24367716908454895
glove	229	because	-0.7469823956489563	0.17788593471050262
glove	230	local	-0.5945555567741394	0.025489699095487595
glove	231	those	-0.7114613652229309	0.2442510426044464
glove	232	using	-0.5480241179466248	0.22232408821582794
glove	233	results	-0.49540311098098755	0.13618618249893188
glove	234	office	-0.583786129951477	-0.11693445593118668
glove	235	education	-0.5230351686477661	-0.016237830743193626
glove	236	national	-0.5696119666099548	-0.08299696445465088
glove	237	car	-0.466770738363266	-0.0318133570253849
glove	238	design	-0.42339056730270386	0.05198321491479874
glove	239	take	-0.6863057017326355	0.11054760217666626
glove	240	posted	-0.4073754549026489	-0.06180109828710556
glove	241	internet	-0.46651604771614075	0.153453066945076
glove	242	address	-0.47499969601631165	0.0662311464548111
glove	243	community	-0.5447043776512146	-0.00904074963182211
glove	244	within	-0.6441507339477539	0.17670726776123047
