seed	factor	repeat	r2_drop	mae_increase
22	length	60	0.06306580370258441	0.005165931143139402
22	length	61	0.04461310323027923	0.00170125367561888
22	length	62	0.0507193356359007	0.005008732021703627
22	length	63	0.039163147661278486	0.006208397158583179
22	length	64	0.04154172800162437	0.011484881047598011
22	length	65	0.013106613711212467	-0.00016893631452916114
22	length	66	0.033584335584558644	0.004121481432182494
22	length	67	0.024226301492597968	0.00623094843392441
22	length	68	0.047977265061436625	0.006678933938222914
22	length	69	0.029389969328933452	0.004290197811394059
22	length	70	0.06086692091194601	0.010540680746642273
22	length	71	0.0386659368227682	0.005963416501930829
22	length	72	0.054183836442359135	0.006259313321982929
22	length	73	0.061105168527252784	0.0034730679836200706
22	length	74	0.024732352517316314	0.004433786011882129
22	length	75	0.037556583880429484	0.0057798361879496385
22	length	76	0.0255544590148834	0.006481742703294074
22	length	77	0.05088104345948197	0.0028619597775096928
22	length	78	0.04564466166640646	0.004506923547646702
22	length	79	0.04071291068814076	0.00472946289661666
22	length	80	0.03403513657215518	0.006513124365370049
22	length	81	0.038107211388148765	0.008839427071023365
22	length	82	0.03285955068486346	0.004166254079888548
22	length	83	0.024807275393927908	0.0022138762319236505
22	length	84	0.03165523531907444	0.006014002762354198
22	length	85	0.045001430909659024	0.0045829678897699455
22	length	86	0.04881307584188488	0.0068675147217346355
22	length	87	0.037561664429901165	0.0024929254216930208
22	length	88	0.04139098973454358	0.005884245418131373
22	length	89	0.05782058172330096	0.008628404979829196
22	length	90	0.03868633857023496	0.001036432467408921
22	length	91	0.03553317939450251	0.002884401085192112
22	length	92	0.03967384632987048	0.009019880643328315
22	length	93	0.04422470935264977	0.006856480704169277
22	length	94	0.036969491167941015	0.005571830870772926
22	length	95	0.03254438321915143	0.0061606077368597245
22	length	96	0.031045677687076778	0.007512691460962062
22	length	97	0.03266866712585659	0.003056354173738729
22	length	98	0.043071667934447055	0.004157313725495021
22	length	99	0.02747221417190837	0.0050252497490099746
19	lexicality	0	0.0646789906457158	0.01284071662281347
19	lexicality	1	0.07859423160766654	0.006381640455440513
19	lexicality	2	0.09416850231395557	0.015621930005075557
19	lexicality	3	0.048964469769656405	0.008817185125455262
19	lexicality	4	0.06898672525645355	0.007302605910505883
19	lexicality	5	0.06598898663987185	0.011776349244819129
19	lexicality	6	0.07984692154716932	0.012212229625871984
19	lexicality	7	0.08380775041153377	0.01627113629929869
19	lexicality	8	0.08278381128373813	0.009985593963260486
19	lexicality	9	0.08747933328956636	0.01801648839264955
19	lexicality	10	0.0895718754222733	0.011579806420540989
19	lexicality	11	0.06268605103792935	0.011303171227409425
19	lexicality	12	0.07651893559401834	0.009858403144033329
19	lexicality	13	0.07602598914718728	0.009956239667312128
19	lexicality	14	0.07924267181252198	0.016100647931113682
19	lexicality	15	0.053284846557931864	0.011865324174644892
