state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W3_REP	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1590	1	34	0	1556	0
W3_REP	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	34	0	1556	0
W3_REP	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1486	0.934591195	7	77	1479	27
W3_REP	freear	NATIVE_LTM_WRONG	S0	3193	0	0	NA	NA	NA	NA
W3_REP	freear	NATIVE_LTM_WRONG	S1	3193	3193	1	3193	0	0	0
W3_REP	freear	NATIVE_LTM_WRONG	S2	3193	3193	1	3193	0	0	0
W3_REP	freear	NATIVE_LTM_WRONG	S3	3193	382	0.1196367053	382	0	0	2811
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3159	0	0	NA	NA	NA	NA
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3159	3159	1	3159	0	0	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3159	3159	1	3159	0	0	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3159	375	0.118708452	375	0	0	2784
W3_REP	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S0	0	0		NA	NA	NA	NA
W3_REP	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S1	0	0		0	0	0	0
W3_REP	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S2	0	0		0	0	0	0
W3_REP	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S3	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W3_REP	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W3_REP	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_REP	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_REP	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3159	0	0	NA	NA	NA	NA
