dataset_regime	seed	route	source_lexicality	label	phoneme_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	7	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	7	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	8	68	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	8	68	1	OK	1.0	0.014705882352941176	1.0	0.014705882352941176	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	8	68	1	OK	2.0	0.029411764705882353	0.0	0.0	0.0	0.0	1.0	0.014705882352941176	1.0	0.5	1.0	0.014705882352941176	1.0	0.5	OK
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	8	68	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	9	66	4	OK	6.0	0.09090909090909091	3.0	0.045454545454545456	0.75	0.5	2.0	0.030303030303030304	0.5	0.3333333333333333	1.0	0.015151515151515152	0.25	0.16666666666666666	OK
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	9	66	3	OK	8.0	0.12121212121212122	3.0	0.045454545454545456	1.0	0.375	3.0	0.045454545454545456	1.0	0.375	2.0	0.030303030303030304	0.6666666666666666	0.25	OK
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	9	66	11	OK	21.0	0.3181818181818182	9.0	0.13636363636363635	0.8181818181818182	0.42857142857142855	6.0	0.09090909090909091	0.5454545454545454	0.2857142857142857	6.0	0.09090909090909091	0.5454545454545454	0.2857142857142857	OK
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	9	66	1	OK	4.0	0.06060606060606061	4.0	0.06060606060606061	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
