dataset_regime	seed	route	source_lexicality	label	broad_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	Long	200	4	OK	9.0	0.045	4.0	0.02	1.0	0.4444444444444444	3.0	0.015	0.75	0.3333333333333333	2.0	0.01	0.5	0.2222222222222222	OK
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	Long	200	12	OK	23.0	0.115	9.0	0.045	0.75	0.391304347826087	7.0	0.035	0.5833333333333334	0.30434782608695654	7.0	0.035	0.5833333333333334	0.30434782608695654	OK
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	Long	200	1	OK	4.0	0.02	4.0	0.02	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
