seed	route	factor	repeat	r2_drop	mae_increase
19	full	length	41	0.013202547675028042	0.0002560198121287424
19	full	length	42	0.002000082139527737	-0.0003142605915327501
19	full	length	43	0.013514712928667127	0.0009997547082698094
19	full	length	44	0.010978356979732817	0.0004955396996219191
19	full	length	45	0.017711815077148807	0.0004968075453544579
19	full	length	46	0.004821631081949995	0.0006313122366883826
19	full	length	47	0.007441857015026421	0.0013269580843419913
19	full	length	48	0.017659963913711496	0.0009272754230658271
19	full	length	49	0.01612132044754111	0.0015318892182023536
19	full	length	50	0.01147842525470566	0.0012962007434347902
19	full	length	51	0.015415411739176155	0.0007381060028957102
19	full	length	52	0.01757373600445089	0.0005611411563197014
19	full	length	53	0.004970970643731865	0.0009145601251561719
19	full	length	54	0.004998207472136529	0.0010114296470766816
19	full	length	55	0.017014875074812807	-0.0002237581738029175
19	full	length	56	0.013494483733553886	0.0008644650199908857
19	full	length	57	0.015496593087882427	0.0006758252346080011
19	full	length	58	0.01126806739726749	0.000690801951353251
19	full	length	59	0.01785461000008326	0.0009582881261307914
19	full	length	60	0.01761007382301194	0.00043935176289542494
19	full	length	61	0.015145930516754724	1.576171369025922e-05
19	full	length	62	0.006611487648166103	0.00032009806093620877
19	full	length	63	0.011281288959088864	0.0007754858101513412
19	full	length	64	0.009516840432666984	0.0013864477990068562
19	full	length	65	0.004255894803147031	-3.611196152309565e-05
19	full	length	66	0.008867234169721905	0.00046452699655695137
19	full	length	67	0.006910232913793002	0.0007815786417125457
19	full	length	68	0.006937072889816709	0.000869564278449024
19	full	length	69	0.008982659980124708	0.0005641875721003019
19	full	length	70	0.02249973083390977	0.0014167222911265244
19	full	length	71	0.01994969032871008	0.0008237834347968737
19	full	length	72	0.013390318412235258	0.0007396292107860018
19	full	length	73	0.019531001828633987	0.000566751139093366
19	full	length	74	0.009116023202585755	0.0004375731928473528
19	full	length	75	0.002559009211229424	0.0003562100224593183
19	full	length	76	0.017820497822513715	0.0010884785559515803
19	full	length	77	0.017383739626252726	0.0005164006717703097
19	full	length	78	0.015404018965964994	0.0005316516611450252
19	full	length	79	0.013349330885501054	0.0005425883890066117
19	full	length	80	0.011385454280407603	0.0009819401519020159
19	full	length	81	0.009383212641952077	0.001080332881712831
19	full	length	82	0.013396863051082675	0.0006130148315330493
19	full	length	83	0.019648785564155058	0.00046757341233755537
19	full	length	84	0.0156933986731822	0.0009664338003695268
19	full	length	85	0.013301864861983148	0.0005738564542293427
19	full	length	86	0.01350574422263795	0.0003933155570855079
19	full	length	87	0.017607649755830068	0.0005850485442486959
19	full	length	88	0.011263351547030731	0.000697169055543928
19	full	length	89	0.01781611268259431	0.001119491259016548
19	full	length	90	0.0172954183601276	0.0002273153138990791
19	full	length	91	0.015317923340831374	0.0004207989955823284
19	full	length	92	0.0007150096985213406	0.0008278423341522359
19	full	length	93	0.02211050480323007	0.0010353370350056797
19	full	length	94	0.01766670697874939	0.0006719938218823877
19	full	length	95	0.004830533645915569	0.0007068379376729689
19	full	length	96	0.009277020105832312	0.0008324119578231454
19	full	length	97	0.004520792459458467	0.00025297339634814536
19	full	length	98	0.01980035076692832	0.0007180300276923186
19	full	length	99	0.011224920371605274	0.0006425043267077185
20	full	length	0		6.805797604804084e-05
20	full	length	1		-2.656545319940258e-05
20	full	length	2		-2.9913767589971087e-05
20	full	length	3		0.00042587289995757276
20	full	length	4		-9.151396840324788e-05
20	full	length	5		0.00013783326512021004
20	full	length	6		0.00011872884011784619
20	full	length	7		0.0001837073538606569
20	full	length	8		0.0004381347076130183
20	full	length	9		0.00010722742774925322
20	full	length	10		-2.179467227996206e-05
20	full	length	11		-9.431187727972339e-05
20	full	length	12		0.000110605740678788
20	full	length	13		0.00020767687969824606
20	full	length	14		0.00020118045732674117
20	full	length	15		8.506521055268949e-05
20	full	length	16		5.745316416895258e-05
20	full	length	17		-0.0001372655137939745
20	full	length	18		9.021618911555715e-05
20	full	length	19		0.00010818802944573876
20	full	length	20		0.0002890175823459882
20	full	length	21		-0.00025675907349756184
20	full	length	22		-9.182345350216246e-06
20	full	length	23		0.00020245725545967215
20	full	length	24		0.00026213625287997873
20	full	length	25		0.00021341258661305984
20	full	length	26		-2.5989373445231036e-05
20	full	length	27		0.00020220137627099694
20	full	length	28		0.00016203700003544676
20	full	length	29		0.00016300192603081742
20	full	length	30		-0.0001940306123109914
20	full	length	31		0.00016544531150394608
20	full	length	32		2.5446210210313715e-05
20	full	length	33		-8.89214332368618e-06
20	full	length	34		-9.393568376534628e-05
20	full	length	35		0.000378606023057379
20	full	length	36		-0.0001570143440563776
20	full	length	37		0.00017599445060399125
20	full	length	38		0.00012123654696779337
20	full	length	39		4.4205818149805134e-06
20	full	length	40		0.00017875803664261277
20	full	length	41		0.0002447531450307924
20	full	length	42		-0.00012459719391534618
20	full	length	43		-2.2140867255373772e-05
20	full	length	44		0.0001828067492421039
20	full	length	45		6.28986690572363e-05
20	full	length	46		0.00010448551182165935
20	full	length	47		0.0002215656845910843
20	full	length	48		0.00013757306163264624
20	full	length	49		0.0002985417983727293
20	full	length	50		0.00022191588369554517
20	full	length	51		0.00014738747968591655
20	full	length	52		3.33394248706138e-05
20	full	length	53		0.0001057963126226049
20	full	length	54		0.00017869371526579338
20	full	length	55		5.4369377564834724e-05
20	full	length	56		0.00025875793995044395
20	full	length	57		-7.733063718499359e-05
20	full	length	58		0.00029574821379514064
20	full	length	59		0.00019098584163004546
20	full	length	60		7.757818794573192e-05
20	full	length	61		6.752301560182701e-06
20	full	length	62		0.00010244831840187669
20	full	length	63		-9.268336838065896e-06
20	full	length	64		0.0004636752377391168
20	full	length	65		2.850432257435389e-05
20	full	length	66		0.00011130613888770888
20	full	length	67		0.00020490896936073682
20	full	length	68		9.22317124243113e-05
20	full	length	69		0.0001449440942127879
20	full	length	70		0.0001640741934552303
20	full	length	71		0.00022160000742893742
20	full	length	72		0.00019978366503794597
20	full	length	73		4.044388300602532e-06
20	full	length	74		-6.180225935059451e-06
20	full	length	75		8.469294414469898e-06
20	full	length	76		0.00013175136322998455
20	full	length	77		5.81835609168406e-05
20	full	length	78		6.320727030540568e-07
20	full	length	79		-8.417293436207163e-05
20	full	length	80		0.00013340835900634094
20	full	length	81		0.00025870194700156144
20	full	length	82		3.328343192173042e-05
20	full	length	83		0.00015350770854304432
20	full	length	84		7.484027614718721e-05
20	full	length	85		3.494042769808855e-05
20	full	length	86		0.00016023001156425902
20	full	length	87		3.0251313967608225e-05
20	full	length	88		4.215891838954544e-05
20	full	length	89		0.00018213202527325983
20	full	length	90		-4.902219672138497e-05
20	full	length	91		-1.0549139100045173e-05
20	full	length	92		0.00023414801298186384
20	full	length	93		0.00013204156525651375
20	full	length	94		8.133669851869297e-05
20	full	length	95		2.5796409314774588e-05
20	full	length	96		0.00029914819683570567
20	full	length	97		0.00015621129750373504
20	full	length	98		-1.8356362272494743e-05
20	full	length	99		7.3849675911738e-05
21	full	length	0	0.038217435063692906	0.0016084370152398136
21	full	length	1	0.02045353442348974	0.00031730046814280877
21	full	length	2	0.017276654318995055	0.0007782967907494845
21	full	length	3	0.03496085993668474	0.0011937166516565664
21	full	length	4	0.035102098815077976	0.0015308869953414364
21	full	length	5	0.0173055827784927	0.0009288528465006413
21	full	length	6	0.014149122786694779	0.0010834322321414333
21	full	length	7	0.014079354101803276	0.0006809607013950128
21	full	length	8	0.021570116899541025	0.0017854717295623865
21	full	length	9	0.010742516514829159	0.0009179693153237092
21	full	length	10	0.010623399257743027	0.0007333973643818825
21	full	length	11	0.021460925980076984	0.001330636110919145
21	full	length	12	0.023998543592106514	0.0005365765806032291
21	full	length	13	0.020882923825702115	0.000768789792228379
21	full	length	14	0.004445195234013877	0.001344949742739708
21	full	length	15	0.034108037015207704	0.0005365765806032222
21	full	length	16	0.04126924202815341	0.0008648443860089297
21	full	length	17	0.013824386411819378	0.0004637381569224039
21	full	length	18	0.00456913390101632	0.0012087911248951158
21	full	length	19	0.004710089261619976	0.0013157292498525847
21	full	length	20	0.022170524594886776	0.002006885216096599
21	full	length	21	0.0028476058374917734	-0.0005420602492346646
21	full	length	22	0.024170696358271293	0.000640084604917053
21	full	length	23	0.014555823130147028	0.0011372454277841296
21	full	length	24	0.003976951034681986	0.0005958734448773678
21	full	length	25	0.035242770657892275	0.0014655132331898371
21	full	length	26	0.004465898864499995	0.0010433282080773917
21	full	length	27	0.006831363710364857	0.0002274178093216242
21	full	length	28	0.03469766741768898	0.0014647411607759397
21	full	length	29	0.020863921703826338	0.0007075231660524026
21	full	length	30	0.02353909125736431	0.0004446291227983082
21	full	length	31	0.011011948434562102	0.0010010868099395234
21	full	length	32	0.017193839395175714	0.0008082893560505122
21	full	length	33	0.027440317724206964	0.0007470227298745288
21	full	length	34	0.010252717729768435	0.0007225138332049574
21	full	length	35	0.021508573043661383	0.0016254924813761118
21	full	length	36	0.033488627197986065	8.234542220191682e-05
21	full	length	37	0.020424605963992093	0.0005310929119717658
21	full	length	38	0.014348786021536442	0.0009179693153237092
21	full	length	39	0.03451955876857593	0.001029619036498744
21	full	length	40	0.010846886024377	0.0008886650163505913
21	full	length	41	0.020905896402252044	0.0005903897762459184
21	full	length	42	0.037210327024894574	0.0001490957170093496
21	full	length	43	0.014708690256646784	0.001301331811946027
21	full	length	44	0.01736202170666712	0.0008621025516932154
21	full	length	45	0.007441697743332143	0.0004222688311984399
21	full	length	46	0.001024124732399545	0.0008356238931217924
21	full	length	47	0.008939739040222938	0.0019136562627177708
21	full	length	48	0.03485280349025277	0.0015607957545564904
21	full	length	49	0.008865148945415235	0.0020151107190437903
21	full	length	50	0.008236947263603578	0.0017984926348131106
21	full	length	51	0.020990129316892148	0.0011446988583174236
21	full	length	52	0.01051392482048974	0.0005366603866892097
21	full	length	53	0.021914422431870917	0.0016302878836796514
21	full	length	54	0.008335644407992393	0.0015424587928462921
21	full	length	55	0.01953065929933162	-0.00026631291290181436
21	full	length	56	0.011330728926489675	0.001227816352933224
21	full	length	57	0.010711319109268147	0.000698693202863282
21	full	length	58	0.004382516905102496	0.0009799242078276094
21	full	length	59	0.031909336490013485	0.0015771629543648788
21	full	length	60	0.024388510759746462	0.0006938978005597563
21	full	length	61	0.033922838010114975	0.0003254421650040057
21	full	length	62	0.024197072353916105	0.0008035777598329602
21	full	length	63	0.017867702712297318	0.0011045948342533543
21	full	length	64	0.012233183937950587	0.002185973498406976
21	full	length	65	0.009965134643402318	0.00011233798750295149
21	full	length	66	0.017454762968107995	0.0008457353518848271
21	full	length	67	0.004377695495186074	0.0011263618966072114
21	full	length	68	0.02477252204443814	0.0015471703890638441
21	full	length	69	0.021162282083057038	0.0010596116017997786
21	full	length	70	0.001694301112636798	0.0015050127970119703
21	full	length	71	0.007666602500787101	0.000907774050474694
21	full	length	72	0.028160977149670363	0.0013741702356268523
21	full	length	73	0.03062315371164981	0.0009144554085940768
21	full	length	74	0.007673976374556024	0.000499214390854881
21	full	length	75	0.04193828393535892	0.0012033074562636525
21	full	length	76	0.011164815561061858	0.0013313243772470618
21	full	length	77	0.03752683857075845	0.0010588395293858813
21	full	length	78	0.0414581279701306	0.0011338153271404985
21	full	length	79	0.027889276283873943	0.0008696397883124693
21	full	length	80	0.02158599912011072	0.0015635375888722255
21	full	length	81	0.008415055912716407	0.0015771629543648719
21	full	length	82	0.0074598489099655385	0.0006857561036985524
21	full	length	83	0.013853031353527778	0.0005365765806032222
21	full	length	84	0.007701770361021931	0.001139298995771948
21	full	length	85	0.02781582066209809	0.0010432444019914042
21	full	length	86	0.018169466510623566	0.0006653655740005288
21	full	length	87	0.02769670340501229	0.0009363062770339214
21	full	length	88	0.004240710589256347	0.0007954360629717563
21	full	length	89	0.021525589737262596	0.0016037254190222686
21	full	length	90	0.02699873303830891	0.00039964589034471865
21	full	length	91	0.010361057693989983	0.00038679259726596277
21	full	length	92	0.005054111276160511	0.0013457218151536054
21	full	length	93	0.028175441379419186	0.0014940454597490577
21	full	length	94	0.027987689910473512	0.0010276492745969132
21	full	length	95	0.03519001866660243	0.0015471703890638372
